	Citrus Fire	RN17	Hliana	Rocky Hemp	Bialobrzeskie	Colorado Cherry	Stable Fire Cherry 308	CW x Harlequin Tsunami	USO-31 (A)	Cherry Wine (B)	Fibranova	Nebraska Feral x AC/DC	SS Alpha	Cherry Wine (C)	RN-13A (A)	Authentic Hemp	Bama	RN-13A (B)	FL70 S1	Tangerine (A)	Franklin	Kataini	Martha	X-59	Elektra (B)	Cascade OG	Grandi	URCBD 1	URCBD 7	Han-FH-Q	Oregon CBD	Illinois Feral	Sour Space Candy (B)	SC-1 x Logan	Brilliance (herm)	Otto II (B)	Keystone NY Feral	#5	Cherry (A)	Sterling Gold	Wojko	Anka	RN16	Cherry x Wulf	Cherry Wine (D)	Canda	URCBD 5	Ferimon	Rogue	Joey	18AB092701 (WI)	RNF	Sisters F1	Eletta Campana	Lifter (B)	Pewter River	A2R4 x AC/DC	Earlina 8	Yuma	Elektra 1	Cherry Wine x C	Dead Lights	SC-1	Cobbler	CRS-1	R4 x Wife x Hemp	Otto II (A)	Han-Cold	Brilliance	KG9201	Han-FN-H	Pineberry	Carmagnola Selezionata	Special Sauce (B)	Berry Blossom	Oregon Bush	BaOx (C)	Cherry x 5	Si-1	Wild Horse	Tangerine (C)	TJ's CBD S1 (female)	Vermont Sauce	18AB092101 (WI)	Cherry Wine (standard)	Han-NE	AC/DC x Otto II (A)	Bish Feral	Tangerine (B)	Anka x Logan	Cherry (B)	Nebraska Feral	18AB092801 (WI)	Wolf	Berry Blossom (standard)	Carmagnola	Lifter (A)	FL70	TJ's CBD (B)	A2R4	Hawaiian Haze (B)	TJs CBD S1 (male)	Super Cherry F2	Fermion	FL80	RN19	Victoria	18AB092702 (WI)	RNA Auto	Logan 20	Cherry Wine (A)	Fedora 17	18AB101101 (WI)	Cherry 5	Cherry 308	Cherry x BaOx	Cherry Wine (dwarf)	Sour Space Candy (A)	NWG 331	Hass Hemp	Tygra	FL49	XYZ	Puma	Futura 75	CFX-1	Deschutes	Swift	Picolo	Hawaiian Haze (A)	Marten's Kashong	T-2 (B)	Special Sauce (C)	TJ's CBD (A)	Late Sue (B)	Sisters F2	Hlukhivskii-51	Magic Bullet	CBDawg	FL58	Umpqua	AC/DC x Otto II (B)	VT Cherry	Double Cherries (B)	Green Mountain	FL71	18AB100501 (WI)	Box Wine	Cherry x A	Stout	Cherry x 2	BaOx (A)	NWG Elite	Fresh Start	USO-31 (B)	URCBD 4	AC/DC	A2R4 x Nebraska Feral	NY Cherry	Double Cherries (A)	Elektra (A)	Sour Tsunami	FL71 S1	Cherry 307	Berry Blossom (dwarf)	NY Feral 2019	BaOx (B)	Portugal	Georgina	Hlesia	Suver Haze	KG9202	Cascade	T-1 (B)	ABC	T-2 (A)	URCBD 6	Helena	URCBD 3	Han-NW	Cherry (C)	Felina 32	CFX-2	Special Sauce (A)	URCBD 2	Young Slim	T-1 (A)	Late Sue (A)	AC/DC x Otto II (C)	Dell Riley Field
BaOx (A)	0.21992397	0.28902933	0.33824196	0.3182619	0.35022315	0.29899266	0.2906971	0.29913786	0.34177682	0.32105744	0.3314436	0.2996508	0.32356378	0.294262	0.26949745	0.2998328	0.2979668	0.25571972	0.28857055	0.30063364	0.25337166	0.36288214	0.31905276	0.346775	0.29616246	0.2912088	0.3455105	0.29446906	0.34179172	0.30063462	0.2754551	0.3373044	0.29322556	0.31528106	0.27016228	0.25639072	0.31762698	0.34915975	0.30452037	0.3178998	0.35272843	0.34357437	0.29063955	0.305687	0.29419377	0.33922416	0.31752566	0.33869857	0.28975514	0.3460646	0.31847697	0.25497735	0.27197087	0.32555464	0.28436685	0.3280953	0.32333386	0.35368642	0.2976687	0.30265135	0.26611695	0.29453915	0.33048868	0.2873501	0.33703533	0.29323718	0.28038123	0.29691347	0.29412854	0.29878718	0.3068968	0.30013424	0.3320232	0.3083358	0.29625747	0.29356283	0.22100525	0.3321646	0.29854	0.3361029	0.28338858	0.29566726	0.24463952	0.33603668	0.26968515	0.2972681	0.26731738	0.32923117	0.2848237	0.33100104	0.3253323	0.33940014	0.3311447	0.32804102	0.29322368	0.33843353	0.31152934	0.29131356	0.29311448	0.31167185	0.29306683	0.3188673	0.266865	0.3614803	0.29188737	0.25466752	0.32417956	0.31633565	0.29734057	0.3322793	0.30459064	0.34047186	0.3231848	0.2681879	0.27254978	0.2516361	0.28679812	0.297799	0.3372025	0.26666495	0.3503667	0.29334655	0.3063223	0.29038393	0.3326454	0.34147605	0.2896	0.36788532	0.35781658	0.30089456	0.3393235	0.29091382	0.30215058	0.30904794	0.2644298	0.261577	0.33929348	0.30317637	0.28665593	0.29162383	0.28630772	0.2572309	0.29564247	0.30356702	0.25775048	0.29324296	0.32268235	0.23312718	0.30382174	0.25236225	0.26850697	0	0.35257939	0.31319594	0.3442017	0.30254304	0.28088778	0.30849746	0.2510414	0.29832757	0.3033698	0.32109055	0.29154876	0.27961728	0.27737057	0.2822089	0.24512008	0.35609826	0.3153488	0.34266058	0.2903589	0.27690944	0.28394154	0.2999975	0.31466848	0.29028982	0.32915166	0.33413938	0.31848356	0.30213287	0.26888728	0.3495609	0.3439946	0.23633787	0.30172715	0.22577909	0.31618813	0.2796831	0.21918127	0.35330337
NWG Elite	0.3592479	0.34743568	0.29835832	0.32493612	0.27709594	0.3383002	0.3450477	0.35192412	0.29085004	0.32743105	0.3023182	0.3288944	0.3188505	0.34498367	0.35244414	0.35420293	0.32492864	0.35754934	0.35398987	0.35408628	0.35476613	0.28707144	0.30167812	0.29194415	0.35264137	0.35653782	0.2851412	0.35796392	0.3005712	0.32272238	0.3435121	0.27683276	0.34521186	0.31196582	0.3479308	0.35266396	0.30308118	0.29296303	0.34306735	0.31600994	0.27839652	0.29601315	0.34985602	0.3358854	0.3547651	0.28906232	0.30119288	0.2866409	0.35153678	0.28982878	0.30063364	0.35162142	0.3508982	0.31465316	0.3497747	0.3185246	0.319999	0.2791227	0.31965584	0.34909892	0.35833037	0.35339862	0.31810167	0.34720182	0.2933831	0.35842124	0.34992206	0.32473812	0.3433174	0.3451239	0.32137948	0.3488695	0.29785714	0.3495438	0.35845754	0.35617176	0.34992212	0.30300122	0.32418737	0.31412822	0.35134917	0.34972888	0.3423392	0.30149302	0.358147	0.32523212	0.35004577	0.30348364	0.35337797	0.29076824	0.31451687	0.3043216	0.30277184	0.30946818	0.35746676	0.30243406	0.3533645	0.35076284	0.34806287	0.3022218	0.35385698	0.32023817	0.34884754	0.268083	0.35184246	0.3528527	0.30119243	0.3048907	0.35000575	0.30264285	0.35164556	0.2824346	0.29873878	0.35827148	0.3576859	0.34655148	0.35962376	0.34544656	0.26300424	0.35789537	0.27933145	0.3518523	0.3506258	0.32667068	0.29573664	0.28176194	0.34512815	0.2838986	0.28582874	0.35621786	0.2854859	0.3540661	0.3421476	0.34788677	0.3584705	0.35308114	0.29490727	0.36220938	0.3511656	0.35074338	0.34750152	0.35935906	0.34492204	0.35611567	0.3371118	0.35101414	0.30120593	0.3462237	0.35382414	0.35624492	0.32237145	0.35257939	0	0.35063106	0.2880064	0.33167765	0.32981133	0.32137808	0.35129514	0.3613859	0.35464382	0.3396506	0.3530809	0.3531635	0.35627463	0.33723596	0.35431078	0.2831711	0.2958128	0.2854652	0.35174066	0.35020366	0.35307363	0.3522128	0.35430706	0.35534182	0.32757425	0.30062363	0.3396661	0.31627804	0.34470117	0.28291497	0.28632277	0.35702908	0.34004265	0.34483162	0.35305664	0.35631853	0.35607612	0.28308645
Fresh Start	0.29342383	0.24917936	0.35503924	0.3177215	0.34979448	0.25580204	0.2586624	0.21665658	0.35662585	0.27221644	0.32121336	0.32824638	0.3109001	0.22697483	0.275461	0.27485174	0.3094127	0.33382508	0.23791115	0.26018322	0.32437995	0.35767514	0.3245261	0.35303208	0.21247166	0.2617276	0.35680756	0.22792606	0.3459968	0.30752736	0.28936398	0.35113463	0.2684788	0.32512656	0.27729478	0.30597618	0.3385157	0.34426367	0.2822313	0.32644165	0.35042572	0.33614874	0.28193995	0.24864094	0.23735188	0.3496329	0.3313547	0.35857022	0.2634793	0.35123464	0.3296153	0.27806988	0.25923002	0.31224597	0.24475294	0.3203731	0.33291718	0.36604398	0.30776295	0.20475322	0.24100675	0.19876257	0.3184111	0.25892273	0.35018405	0.30292803	0.2672029	0.30814606	0.27130207	0.26082107	0.32431096	0.24157123	0.31848228	0.26132467	0.23766123	0.26055795	0.30383673	0.32662368	0.3042637	0.3011063	0.25956225	0.27101582	0.2895779	0.33997104	0.23107603	0.31269956	0.30794773	0.34123793	0.2582749	0.3360263	0.2996718	0.33907375	0.34369162	0.32328206	0.25103116	0.32662004	0.23811752	0.22555174	0.25216326	0.30437854	0.22449587	0.29790273	0.28174174	0.3586198	0.22519141	0.2607351	0.32795492	0.3302517	0.27057618	0.33921954	0.22450486	0.36001417	0.33163846	0.25140512	0.24325551	0.3057963	0.22388624	0.25498426	0.34408244	0.2884237	0.34137017	0.22293738	0.2806706	0.30796906	0.33958012	0.35630745	0.25692698	0.3683361	0.35532475	0.2459283	0.35824603	0.25177044	0.28324217	0.24934484	0.33034772	0.2491257	0.35476413	0.2801964	0.2868211	0.22916979	0.2683314	0.26204044	0.29193085	0.26675916	0.31444517	0.23039155	0.3280977	0.30220827	0.21259546	0.2873354	0.3312001	0.31319594	0.35063106	0	0.35600576	0.29603028	0.32590735	0.32085776	0.287717	0.24792822	0.22573656	0.24041042	0.24172038	0.21536334	0.28173777	0.2950633	0.3303655	0.35999858	0.32478076	0.35090196	0.22668272	0.26901656	0.26812455	0.25813764	0.18226069	0.2683421	0.29208493	0.34402227	0.23583837	0.31151053	0.33591652	0.34948835	0.34747514	0.3284809	0.23821959	0.32881013	0.28073624	0.32932663	0.30870056	0.3501523
USO-31 (B)	0.3591165	0.33939835	0.21080644	0.33366698	0.25938758	0.3260941	0.34243178	0.35751668	0.20240588	0.33793327	0.30477765	0.31783977	0.32917586	0.34878328	0.36062926	0.3613797	0.32525018	0.36108488	0.3455323	0.35563344	0.35135707	0.2500661	0.27732733	0.26612866	0.3553171	0.36119974	0.24176271	0.36502394	0.29621452	0.31676236	0.34369338	0.24581373	0.34952798	0.3026025	0.3286792	0.3621154	0.28714278	0.29091212	0.36063027	0.31578755	0.25790563	0.2493617	0.33915925	0.33294028	0.36691248	0.2160067	0.2761281	0.23079479	0.3416951	0.24959238	0.28664622	0.35826325	0.34404874	0.3146582	0.35543105	0.33204114	0.31055966	0.25325918	0.32246715	0.3535309	0.36381897	0.35649258	0.33973622	0.3446653	0.24169782	0.36210686	0.36093792	0.32462624	0.32965505	0.33490577	0.3037696	0.35725617	0.29540724	0.35875818	0.36196327	0.36185536	0.33982006	0.30158445	0.3185127	0.3316547	0.33878675	0.33781868	0.35291684	0.29019934	0.34946802	0.32229045	0.35395533	0.30041143	0.33964807	0.25075224	0.31000623	0.31958526	0.29464507	0.30763486	0.34623337	0.29810113	0.35505688	0.34321386	0.33812335	0.29134715	0.36083227	0.2966149	0.3402047	0.25371015	0.34436408	0.3478298	0.27514982	0.28245974	0.35374117	0.28333417	0.35907483	0.24768439	0.28118584	0.35082084	0.3474292	0.3399211	0.3483245	0.35124674	0.27542806	0.36784968	0.25847924	0.347913	0.36383733	0.32399637	0.25990355	0.23586689	0.33192962	0.25429553	0.25613695	0.36405745	0.23983237	0.3549438	0.35057074	0.35227743	0.3503161	0.346953	0.2396941	0.37155867	0.35885936	0.3437532	0.33211896	0.35037053	0.34519348	0.35844314	0.33647174	0.34472558	0.27719116	0.3480936	0.36315617	0.35234818	0.3048188	0.3442017	0.2880064	0.35600576	0	0.33007896	0.32886687	0.32430708	0.3378854	0.36845568	0.35561323	0.3365461	0.3472711	0.34637275	0.34138307	0.32786286	0.36132434	0.2568117	0.27661988	0.23471865	0.35336667	0.3394933	0.34647885	0.35651982	0.3605638	0.34216797	0.32610852	0.26592252	0.34901765	0.30938354	0.35236192	0.26128763	0.24531564	0.36591145	0.35128927	0.3500927	0.3536837	0.3664142	0.34473923	0.2606315
URCBD 4	0.31183326	0.28815302	0.32711467	0.28148854	0.34424353	0.28755376	0.27440166	0.29566815	0.32837307	0.3131345	0.32154667	0.3022527	0.28464368	0.2918961	0.31470495	0.31445682	0.27678987	0.3229674	0.29740188	0.3157182	0.306116	0.34524074	0.31872058	0.3343445	0.30073676	0.31047037	0.3332594	0.3005377	0.29675403	0.26833853	0.31898314	0.32718074	0.3089284	0.2942671	0.30093	0.32389513	0.31753206	0.32095438	0.31113315	0.28758368	0.34369883	0.33527172	0.30060318	0.29761305	0.300979	0.32733625	0.30250937	0.32830498	0.29184443	0.33644983	0.3144981	0.31152058	0.29433328	0.30943048	0.30189678	0.27469105	0.3009706	0.32985914	0.27691346	0.29821187	0.30889288	0.30169177	0.27993992	0.2945575	0.3234582	0.3212854	0.310181	0.2694412	0.29529002	0.285727	0.2833657	0.30916506	0.3252818	0.30146822	0.29797095	0.31573683	0.28841823	0.30255392	0.27235052	0.32308382	0.2987588	0.28765574	0.3203255	0.3156956	0.28084967	0.26433456	0.3103782	0.31020454	0.29988384	0.32334948	0.32315874	0.32874396	0.31205872	0.32276788	0.2901209	0.32820436	0.2930969	0.29887074	0.2882093	0.3104754	0.3064014	0.30893776	0.2820286	0.3449481	0.302337	0.3065067	0.31586218	0.31697646	0.32024005	0.3206842	0.30504543	0.3251701	0.31436813	0.27664015	0.28070727	0.3072909	0.27214873	0.312506	0.33695757	0.31712934	0.33692357	0.30154127	0.31506163	0.27303085	0.32055575	0.32614264	0.2824281	0.34624976	0.34249994	0.30629924	0.3332428	0.31272274	0.2960769	0.30545184	0.30920973	0.30128443	0.32468542	0.31471008	0.31729832	0.30024198	0.286541	0.29154682	0.31203786	0.3013831	0.32313773	0.29756275	0.317075	0.31929436	0.29234523	0.30215454	0.32334203	0.30254304	0.33167765	0.29603028	0.33007896	0	0.28780356	0.2965226	0.30289954	0.3030175	0.29844648	0.31153768	0.29759142	0.28198585	0.2903099	0.29531848	0.31114936	0.34484553	0.31573048	0.32970664	0.29181704	0.29135194	0.29217857	0.31507918	0.28675747	0.30018523	0.2872784	0.32766584	0.26315257	0.26826435	0.3270547	0.33809525	0.3206072	0.3169417	0.2714778	0.32491502	0.31096014	0.32551038	0.29872674	0.3442848
AC/DC	0.30001935	0.30526814	0.33316144	0.2997666	0.34043372	0.32284054	0.2964103	0.31233978	0.32851878	0.32148775	0.31887233	0.27394885	0.2981742	0.3131691	0.29171652	0.29927868	0.28844583	0.2999388	0.30853963	0.30775276	0.27525494	0.3417998	0.31256548	0.33610368	0.3011907	0.29393724	0.3263705	0.32155824	0.32249746	0.27737314	0.32349104	0.3182258	0.3057015	0.29562053	0.30778036	0.27549928	0.30753943	0.31809968	0.32439855	0.28205007	0.34235737	0.3445485	0.2862433	0.32889178	0.3307774	0.32991672	0.30870947	0.33246136	0.305176	0.33637938	0.3103486	0.28359368	0.27928507	0.31343374	0.31400558	0.2967441	0.272681	0.33103612	0.28680137	0.31669065	0.27777916	0.31224656	0.29463518	0.3040728	0.31887907	0.302067	0.2663584	0.28736755	0.2859047	0.30096376	0.29954422	0.3122285	0.3278281	0.30794933	0.33248845	0.29921007	0.28828272	0.31218717	0.28790298	0.32036328	0.29233512	0.30302882	0.29526865	0.30987	0.30020353	0.28810248	0.27015275	0.30619532	0.2920729	0.32336026	0.3241078	0.32270363	0.31208193	0.3229591	0.2998511	0.32707462	0.31127954	0.311292	0.30498144	0.310364	0.2962693	0.32381442	0.27359807	0.34052804	0.31172878	0.28377083	0.3128603	0.3102881	0.3089397	0.31543994	0.31557935	0.32929942	0.30908135	0.29478896	0.306605	0.2903647	0.2997201	0.3150876	0.32909474	0.32021332	0.33635047	0.30971155	0.30858445	0.29108375	0.31571525	0.32465637	0.29801604	0.3424052	0.34254745	0.30980042	0.33142307	0.30537066	0.28993684	0.32147998	0.2772374	0.28957656	0.33425978	0.32283252	0.30736756	0.3084963	0.30094713	0.28991908	0.31136978	0.29286468	0.31689298	0.3113452	0.3107665	0.31077376	0.3166438	0.30445892	0.30572036	0.28088778	0.32981133	0.32590735	0.32886687	0.28780356	0	0.28733236	0.28771412	0.32326138	0.3086794	0.3264934	0.30796504	0.3140674	0.30080986	0.2874763	0.29922804	0.34341192	0.30785245	0.32546908	0.3067828	0.29286635	0.27973148	0.30709252	0.32384604	0.29758596	0.32611877	0.32411477	0.31991795	0.28166124	0.25433874	0.34051448	0.3217467	0.2792127	0.3209489	0.26142207	0.30651197	0.29093543	0.2747726	0.3405245
A2R4 x Nebraska Feral	0.31773102	0.313379	0.32653758	0.32489097	0.33542234	0.31573284	0.29555964	0.31481057	0.32233182	0.3125278	0.3263878	0.27871534	0.3165857	0.31298095	0.3347796	0.32653964	0.30573067	0.34610015	0.31538543	0.28542098	0.3198376	0.33981702	0.30875167	0.33822855	0.3154712	0.3310601	0.32210323	0.32605305	0.32409635	0.3008312	0.33029664	0.31521913	0.32749465	0.2986311	0.31398052	0.34250984	0.29663393	0.31951648	0.3197251	0.29299933	0.34518868	0.33679798	0.30567375	0.3118739	0.33379126	0.3281009	0.31014806	0.33079672	0.31930706	0.33934408	0.30717576	0.33467603	0.3158718	0.31950834	0.3225903	0.31281614	0.2540244	0.32006246	0.30113065	0.32392472	0.32147038	0.31340364	0.2973663	0.32172924	0.31742918	0.32389104	0.33613053	0.30630434	0.3129968	0.3114358	0.3133214	0.3301229	0.31979308	0.34298685	0.3355075	0.33483273	0.29572326	0.32334867	0.30361378	0.26729068	0.26952234	0.30844963	0.33140206	0.2846395	0.30356818	0.30960676	0.3391749	0.27499804	0.26962975	0.31511846	0.302424	0.27237892	0.28954118	0.3133533	0.2907578	0.3220195	0.3269115	0.31834298	0.30672818	0.28215975	0.32510784	0.31530777	0.3182895	0.3359923	0.31674367	0.31079304	0.30503502	0.29802352	0.33748755	0.3013372	0.33862066	0.32625467	0.29155126	0.30907577	0.31574187	0.32698077	0.30622047	0.33036906	0.33208054	0.33766094	0.32781118	0.3199892	0.23764028	0.3064642	0.3121723	0.31796524	0.3052249	0.32782823	0.33958536	0.32143137	0.3237853	0.27763078	0.32926193	0.3239106	0.32680976	0.31406865	0.32483882	0.34139404	0.3493249	0.32288727	0.3057272	0.3091704	0.3228192	0.33594596	0.3209736	0.3184466	0.30235845	0.32542223	0.3228406	0.32267368	0.31801888	0.30849746	0.32137808	0.32085776	0.32430708	0.2965226	0.28733236	0	0.32378706	0.3326805	0.32084024	0.33742195	0.31582883	0.31762525	0.33025217	0.30069453	0.33569768	0.34008363	0.30438143	0.32273895	0.3244266	0.32083791	0.31573042	0.28438523	0.32671258	0.28344136	0.33028287	0.3139003	0.3336637	0.30138335	0.33556518	0.34285903	0.31760317	0.33396935	0.3299862	0.32517973	0.30086872	0.34267703	0.30946982	0.33514395
NY Cherry	0.28885958	0.23613767	0.34351853	0.32112995	0.3511363	0.26632637	0.26312587	0.2836746	0.34689006	0.2951567	0.32961863	0.28985918	0.31569636	0.28322202	0.20815851	0.2901319	0.3011448	0.28326452	0.23580462	0.31200087	0.2745905	0.3551607	0.3217386	0.3489837	0.26245672	0.28687435	0.34365875	0.26333147	0.34571138	0.2946775	0.27692115	0.3387628	0.28563195	0.31785092	0.2535699	0.26787233	0.3245805	0.34377384	0.27189845	0.31779662	0.3499002	0.35033563	0.24222337	0.28485513	0.25954056	0.33614606	0.31574532	0.3507045	0.2623002	0.3476815	0.3234072	0.24875927	0.24058075	0.33153382	0.28603423	0.32443073	0.33131617	0.3509672	0.3005486	0.28929663	0.25040704	0.28323475	0.32550693	0.29673567	0.3322258	0.30621842	0.27183536	0.30161014	0.25259134	0.29238978	0.31303754	0.27407613	0.3297938	0.2808417	0.26018998	0.22090237	0.26782906	0.33174768	0.29278493	0.34568006	0.2934432	0.30362076	0.26061946	0.33710772	0.25983432	0.30553216	0.25067967	0.33268037	0.294769	0.33242658	0.33942953	0.34458518	0.33499852	0.3349154	0.27916625	0.3418249	0.29868576	0.24791728	0.29753265	0.3213913	0.2913557	0.32735536	0.25864258	0.35684237	0.2654887	0.22686942	0.32657036	0.32174587	0.31475875	0.33613542	0.2521446	0.3419173	0.32395813	0.23083459	0.26815623	0.23711602	0.2665594	0.3034198	0.33420742	0.2721258	0.3445333	0.25568083	0.32147697	0.30368993	0.33229247	0.34267613	0.2928644	0.36655706	0.35441703	0.31267285	0.34762955	0.30823082	0.2934612	0.31138155	0.2958165	0.2392895	0.34671432	0.2958628	0.29774514	0.22752663	0.28965893	0.24205413	0.30350927	0.2748931	0.29960048	0.250739	0.32377413	0.26805085	0.25545415	0.25928903	0.30144963	0.2510414	0.35129514	0.287717	0.3378854	0.30289954	0.28771412	0.32378706	0	0.26364776	0.2638391	0.27460757	0.24161553	0.24812177	0.24223533	0.29256442	0.28227258	0.35603517	0.3194478	0.3414643	0.2941899	0.25513387	0.27552348	0.3098679	0.26861575	0.29536653	0.30307865	0.33573827	0.2962008	0.30108103	0.2627472	0.35234335	0.3372441	0.2649129	0.28444284	0.25516003	0.31460783	0.30787295	0.23078947	0.34707984
Double Cherries (A)	0.27366492	0.21965376	0.36686313	0.32438305	0.36557242	0.2453274	0.26749945	0.27036095	0.37080938	0.26799703	0.3387029	0.33550298	0.3160186	0.25262314	0.25249106	0.28240907	0.31611472	0.30861506	0.2337659	0.28764138	0.27928036	0.3707437	0.34417668	0.36333212	0.26051924	0.29892224	0.36978993	0.20311913	0.35460263	0.31156087	0.2916076	0.36040938	0.27610534	0.33840343	0.264297	0.28132233	0.34928614	0.3523228	0.2567339	0.33420727	0.36414832	0.35873103	0.29044664	0.27043143	0.19884425	0.367829	0.3397638	0.3726125	0.28552997	0.366764	0.34553853	0.29872373	0.2718958	0.3339609	0.27773696	0.32412916	0.3508607	0.37861633	0.31287834	0.27198568	0.26774558	0.2562044	0.3299569	0.28610876	0.36152267	0.3019368	0.2700396	0.31413436	0.26509207	0.30183005	0.33206177	0.275663	0.33594587	0.27274293	0.2038073	0.24473198	0.27155778	0.33646256	0.30611414	0.32921153	0.28508377	0.2856834	0.3042926	0.35846806	0.2095428	0.31776786	0.28338578	0.35074103	0.28508782	0.35182458	0.32366446	0.3437661	0.36014938	0.33934617	0.23440993	0.34788337	0.2733218	0.23701291	0.27221823	0.3213383	0.27240452	0.3237217	0.2769802	0.37126812	0.24921222	0.2413187	0.34310588	0.343688	0.2956927	0.3551837	0.2356792	0.36993247	0.34879878	0.23548484	0.22056478	0.304398	0.2111364	0.27339637	0.35702932	0.25669867	0.35905516	0.23502843	0.29558915	0.31379023	0.35588995	0.36864728	0.28444013	0.37937886	0.37144887	0.28747052	0.37183705	0.2797333	0.2932938	0.27403188	0.27461484	0.27818373	0.3763063	0.27947438	0.30344397	0.23801665	0.28795704	0.24405386	0.30384725	0.23687837	0.32435116	0.23723471	0.34559432	0.28396162	0.21864627	0.2573555	0.3356057	0.29832757	0.3613859	0.24792822	0.36845568	0.3030175	0.32326138	0.3326805	0.26364776	0	0.25780645	0.27666846	0.23260285	0.23761563	0.24264556	0.30329534	0.28293225	0.3718199	0.34044793	0.36783415	0.26250973	0.2883642	0.2745793	0.28645656	0.22022717	0.29367316	0.3016519	0.36100402	0.27030283	0.3168346	0.30018672	0.36257482	0.364181	0.28304946	0.27777505	0.29694477	0.30349064	0.27569723	0.28038096	0.36352634
Elektra (A)	0.27373332	0.2566124	0.359356	0.3204891	0.35814536	0.28037408	0.26285017	0.2297896	0.35932106	0.28506565	0.32893062	0.32616505	0.31576598	0.24712254	0.25746465	0.25755575	0.31587914	0.31834015	0.22324505	0.26869485	0.32327816	0.3599794	0.3325064	0.35555503	0.1934706	0.25308555	0.35886538	0.24047409	0.35102087	0.31318885	0.28323156	0.3515886	0.22399923	0.32961643	0.28451887	0.29479948	0.33018747	0.3474197	0.28782505	0.3282801	0.35539734	0.34558976	0.2683323	0.2525988	0.25697127	0.3549471	0.3334374	0.3608288	0.26237795	0.3556089	0.33565953	0.257097	0.27127162	0.3235648	0.22155538	0.32342833	0.33732945	0.36924112	0.31292576	0.17802359	0.2238284	0.21231122	0.3230666	0.2512705	0.34858438	0.30169564	0.26689613	0.31482813	0.26454982	0.26412946	0.3305598	0.2154619	0.32652175	0.21678795	0.26624534	0.24628319	0.30083507	0.33013186	0.30876976	0.31991225	0.26704252	0.28301063	0.2784039	0.34581122	0.24379724	0.31685618	0.2911794	0.3426065	0.26798907	0.3464329	0.31498682	0.34083414	0.34913936	0.33328855	0.24707226	0.33599842	0.21137455	0.22545296	0.27250987	0.31057513	0.21366265	0.309942	0.25219542	0.3597389	0.24391766	0.2491453	0.33407784	0.33700407	0.22716726	0.3472348	0.24545008	0.36038995	0.3374759	0.23439951	0.25645244	0.2896284	0.22305489	0.2103315	0.34605956	0.28144062	0.34608734	0.23319253	0.281603	0.31436747	0.3464883	0.35654905	0.26329634	0.36749285	0.35961133	0.1992508	0.35860506	0.26740453	0.27195522	0.27079216	0.3251993	0.27093485	0.36266115	0.29806417	0.2723505	0.2149582	0.27008775	0.2509515	0.28382012	0.2409617	0.31540665	0.23081316	0.33606184	0.2911459	0.24236862	0.28032884	0.3313529	0.3033698	0.35464382	0.22573656	0.35561323	0.29844648	0.3086794	0.32084024	0.2638391	0.25780645	0	0.25573704	0.22466806	0.23836389	0.2761022	0.29385987	0.320365	0.36129287	0.3280407	0.35088202	0.20202091	0.23465762	0.24109359	0.26781487	0.20958643	0.2734123	0.30013144	0.35140955	0.2725998	0.31635082	0.31729916	0.35198784	0.35444462	0.3144269	0.27361405	0.30319822	0.27682742	0.3255581	0.27662256	0.35491824
